tree,height_m,file,bad,threshold,area_mm2,branch
10820,0.1,23902.tif,0,5,0.0,0
10820,0.1,23902.tif,0,7,0.0,0
10820,0.1,23902.tif,0,9,0.0,0
10820,0.1,23902.tif,0,10,0.0,0
10820,0.1,23902.tif,0,11,0.0,0
10820,0.1,23902.tif,0,13,0.0,0
10820,0.1,23902.tif,0,15,0.0,0
10820,1.4,23903.tif,0,5,0.0,0
10820,1.4,23903.tif,0,7,0.0,0
10820,1.4,23903.tif,0,9,0.0,0
10820,1.4,23903.tif,0,10,0.0,0
10820,1.4,23903.tif,0,11,1.1,0
10820,1.4,23903.tif,0,13,3.6,0
10820,1.4,23903.tif,0,15,4.3,0
10820,2.4,23906.tif,0,5,0.0,0
10820,2.4,23906.tif,0,7,0.0,0
10820,2.4,23906.tif,0,9,0.0,0
10820,2.4,23906.tif,0,10,0.0,0
10820,2.4,23906.tif,0,11,0.0,0
10820,2.4,23906.tif,0,13,0.0,0
10820,2.4,23906.tif,0,15,0.0,0
11117,1.4,23881.tif,0,5,0.0,0
11117,1.4,23881.tif,0,7,0.0,0
11117,1.4,23881.tif,0,9,0.0,0
11117,1.4,23881.tif,0,10,0.0,0
11117,1.4,23881.tif,0,11,0.0,0
11117,1.4,23881.tif,0,13,0.0,0
11117,1.4,23881.tif,0,15,1.1,0
11117,3.3,23884.tif,0,5,0.0,0
11117,3.3,23884.tif,0,7,0.0,0
11117,3.3,23884.tif,0,9,0.0,0
11117,3.3,23884.tif,0,10,0.0,0
11117,3.3,23884.tif,0,11,0.8,0
11117,3.3,23884.tif,0,13,2.4,0
11117,3.3,23884.tif,0,15,3.0,0
11117,4.3,23885.tif,0,5,1.1,0
11117,4.3,23885.tif,0,7,2.1,0
11117,4.3,23885.tif,0,9,3.9,0
11117,4.3,23885.tif,0,10,4.8,0
11117,4.3,23885.tif,0,11,5.2,0
11117,4.3,23885.tif,0,13,6.9,0
11117,4.3,23885.tif,0,15,23.6,0
11117,5.3,23888.tif,0,5,0.0,0
11117,5.3,23888.tif,0,7,0.0,0
11117,5.3,23888.tif,0,9,0.0,0
11117,5.3,23888.tif,0,10,0.0,0
11117,5.3,23888.tif,0,11,0.0,0
11117,5.3,23888.tif,0,13,0.8,0
11117,5.3,23888.tif,0,15,3.4,0
12243,1.4,23873.tif,0,5,1.3,0
12243,1.4,23873.tif,0,7,3.6,0
12243,1.4,23873.tif,0,9,11.7,0
12243,1.4,23873.tif,0,10,15.5,0
12243,1.4,23873.tif,0,11,17.6,0
12243,1.4,23873.tif,0,13,34.3,0
12243,1.4,23873.tif,0,15,40.9,0
12243,2.4,23875.tif,0,5,0.0,0
12243,2.4,23875.tif,0,7,0.0,0
12243,2.4,23875.tif,0,9,0.8,0
12243,2.4,23875.tif,0,10,1.1,0
12243,2.4,23875.tif,0,11,1.7,0
12243,2.4,23875.tif,0,13,2.9,0
12243,2.4,23875.tif,0,15,10.2,0
12243,3.4,23877.tif,0,5,1.8,0
12243,3.4,23877.tif,0,7,4.7,0
12243,3.4,23877.tif,0,9,9.5,0
12243,3.4,23877.tif,0,10,16.6,0
12243,3.4,23877.tif,0,11,17.6,0
12243,3.4,23877.tif,0,13,20.2,0
12243,3.4,23877.tif,0,15,25.6,0
12243,4.4,23879.tif,0,5,3.3,0
12243,4.4,23879.tif,0,7,10.9,0
12243,4.4,23879.tif,0,9,38.4,0
12243,4.4,23879.tif,0,10,53.7,0
12243,4.4,23879.tif,0,11,157.5,0
12243,4.4,23879.tif,0,13,231.1,0
12243,4.4,23879.tif,0,15,252.7,0
12603,1.4,23833.tif,0,5,3.6,0
12603,1.4,23833.tif,0,7,15.1,0
12603,1.4,23833.tif,0,9,28.1,0
12603,1.4,23833.tif,0,10,34.2,0
12603,1.4,23833.tif,0,11,35.9,0
12603,1.4,23833.tif,0,13,49.3,0
12603,1.4,23833.tif,0,15,104.1,0
12603,3.1,23835.tif,0,5,4.1,0
12603,3.1,23835.tif,0,7,14.5,0
12603,3.1,23835.tif,0,9,53.4,0
12603,3.1,23835.tif,0,10,59.5,0
12603,3.1,23835.tif,0,11,109.9,0
12603,3.1,23835.tif,0,13,186.6,0
12603,3.1,23835.tif,0,15,201.1,0
12603,4.1,23837.tif,0,5,4.1,0
12603,4.1,23837.tif,0,7,23.3,0
12603,4.1,23837.tif,0,9,38.7,0
12603,4.1,23837.tif,0,10,60.6,0
12603,4.1,23837.tif,0,11,64.9,0
12603,4.1,23837.tif,0,13,74.8,0
12603,4.1,23837.tif,0,15,81.7,0
12603,5.1,23839.tif,0,5,7.1,0
12603,5.1,23839.tif,0,7,18.1,0
12603,5.1,23839.tif,0,9,63.8,0
12603,5.1,23839.tif,0,10,82.1,0
12603,5.1,23839.tif,0,11,127.6,0
12603,5.1,23839.tif,0,13,210.2,0
12603,5.1,23839.tif,0,15,233.4,0
12603,6.1,23841.tif,0,5,2.6,0
12603,6.1,23841.tif,0,7,6.7,0
12603,6.1,23841.tif,0,9,32.8,0
12603,6.1,23841.tif,0,10,37.8,0
12603,6.1,23841.tif,0,11,76.6,0
12603,6.1,23841.tif,0,13,107.1,0
12603,6.1,23841.tif,0,15,126.8,0
1539,1.4,23731.tif,0,5,5.6,0
1539,1.4,23731.tif,0,7,8.0,0
1539,1.4,23731.tif,0,9,9.6,0
1539,1.4,23731.tif,0,10,11.4,0
1539,1.4,23731.tif,0,11,13.9,0
1539,1.4,23731.tif,0,13,16.8,0
1539,1.4,23731.tif,0,15,28.6,0
1539,4.0,23729.tif,0,5,2.4,0
1539,4.0,23729.tif,0,7,14.5,0
1539,4.0,23729.tif,0,9,38.1,0
1539,4.0,23729.tif,0,10,43.7,0
1539,4.0,23729.tif,0,11,92.9,0
1539,4.0,23729.tif,0,13,108.2,0
1539,4.0,23729.tif,0,15,134.4,0
1539,5.0,23727.tif,0,5,3.6,0
1539,5.0,23727.tif,0,7,9.8,0
1539,5.0,23727.tif,0,9,24.9,0
1539,5.0,23727.tif,0,10,48.9,0
1539,5.0,23727.tif,0,11,58.4,0
1539,5.0,23727.tif,0,13,66.1,0
1539,5.0,23727.tif,0,15,83.9,0
1539,6.0,23725.tif,0,5,0.8,0
1539,6.0,23725.tif,0,7,6.7,0
1539,6.0,23725.tif,0,9,12.6,0
1539,6.0,23725.tif,0,10,36.3,0
1539,6.0,23725.tif,0,11,40.5,0
1539,6.0,23725.tif,0,13,62.5,0
1539,6.0,23725.tif,0,15,97.4,0
3615,1.4,23805.tif,0,5,0.0,0
3615,1.4,23805.tif,0,7,0.0,0
3615,1.4,23805.tif,0,9,1.6,0
3615,1.4,23805.tif,0,10,1.8,0
3615,1.4,23805.tif,0,11,3.4,0
3615,1.4,23805.tif,0,13,4.9,0
3615,1.4,23805.tif,0,15,8.8,0
3615,4.0,23804.tif,0,5,0.0,0
3615,4.0,23804.tif,0,7,1.1,0
3615,4.0,23804.tif,0,9,5.4,0
3615,4.0,23804.tif,0,10,6.6,0
3615,4.0,23804.tif,0,11,9.2,0
3615,4.0,23804.tif,0,13,27.9,0
3615,4.0,23804.tif,0,15,46.4,0
3615,5.0,23802.tif,0,5,0.0,0
3615,5.0,23802.tif,0,7,7.6,0
3615,5.0,23802.tif,0,9,17.6,0
3615,5.0,23802.tif,0,10,19.1,0
3615,5.0,23802.tif,0,11,63.0,0
3615,5.0,23802.tif,0,13,91.6,0
3615,5.0,23802.tif,0,15,257.8,0
3615,6.0,23723.tif,0,5,0.0,0
3615,6.0,23723.tif,0,7,3.5,0
3615,6.0,23723.tif,0,9,9.2,0
3615,6.0,23723.tif,0,10,19.9,0
3615,6.0,23723.tif,0,11,22.4,0
3615,6.0,23723.tif,0,13,42.8,0
3615,6.0,23723.tif,0,15,116.1,0
3726,1.6,23816.tif,0,5,1.5,0
3726,1.6,23816.tif,0,7,4.2,0
3726,1.6,23816.tif,0,9,16.9,0
3726,1.6,23816.tif,0,10,18.6,0
3726,1.6,23816.tif,0,11,20.9,0
3726,1.6,23816.tif,0,13,23.4,0
3726,1.6,23816.tif,0,15,26.2,0
3726,4.6,23818.tif,0,5,2.7,0
3726,4.6,23818.tif,0,7,6.4,0
3726,4.6,23818.tif,0,9,10.6,0
3726,4.6,23818.tif,0,10,11.4,0
3726,4.6,23818.tif,0,11,11.8,0
3726,4.6,23818.tif,0,13,13.8,0
3726,4.6,23818.tif,0,15,25.0,0
3726,5.6,23820.tif,0,5,0.0,0
3726,5.6,23820.tif,0,7,4.4,0
3726,5.6,23820.tif,0,9,11.1,0
3726,5.6,23820.tif,0,10,16.4,0
3726,5.6,23820.tif,0,11,42.1,0
3726,5.6,23820.tif,0,13,267.0,0
3726,5.6,23820.tif,0,15,1208.9,0
3726,6.6,23821.tif,0,5,2.6,0
3726,6.6,23821.tif,0,7,6.4,0
3726,6.6,23821.tif,0,9,23.8,0
3726,6.6,23821.tif,0,10,30.2,0
3726,6.6,23821.tif,0,11,32.9,0
3726,6.6,23821.tif,0,13,74.3,0
3726,6.6,23821.tif,0,15,90.5,0
3726,7.6,23823.tif,0,5,2.6,0
3726,7.6,23823.tif,0,7,9.0,0
3726,7.6,23823.tif,0,9,25.6,0
3726,7.6,23823.tif,0,10,32.2,0
3726,7.6,23823.tif,0,11,42.1,0
3726,7.6,23823.tif,0,13,66.2,0
3726,7.6,23823.tif,0,15,80.9,0
4802,1.4,23814.tif,0,5,14.2,0
4802,1.4,23814.tif,0,7,77.8,0
4802,1.4,23814.tif,0,9,146.6,0
4802,1.4,23814.tif,0,10,161.2,0
4802,1.4,23814.tif,0,11,168.4,0
4802,1.4,23814.tif,0,13,221.9,0
4802,1.4,23814.tif,0,15,258.2,0
4802,5.4,23811.tif,0,5,3.2,0
4802,5.4,23811.tif,0,7,11.7,0
4802,5.4,23811.tif,0,9,35.2,0
4802,5.4,23811.tif,0,10,48.0,0
4802,5.4,23811.tif,0,11,52.2,0
4802,5.4,23811.tif,0,13,118.4,0
4802,5.4,23811.tif,0,15,137.9,0
4802,6.4,23809.tif,0,5,8.4,0
4802,6.4,23809.tif,0,7,93.6,0
4802,6.4,23809.tif,0,9,169.8,0
4802,6.4,23809.tif,0,10,202.4,0
4802,6.4,23809.tif,0,11,212.5,0
4802,6.4,23809.tif,0,13,371.6,0
4802,6.4,23809.tif,0,15,437.2,0
4802,7.4,23807.tif,0,5,8.3,0
4802,7.4,23807.tif,0,7,71.9,0
4802,7.4,23807.tif,0,9,131.1,0
4802,7.4,23807.tif,0,10,141.2,0
4802,7.4,23807.tif,0,11,147.9,0
4802,7.4,23807.tif,0,13,209.5,0
4802,7.4,23807.tif,0,15,238.0,0
6610,1.4,23843.tif,0,5,1.1,0
6610,1.4,23843.tif,0,7,3.9,0
6610,1.4,23843.tif,0,9,14.9,0
6610,1.4,23843.tif,0,10,98.8,0
6610,1.4,23843.tif,0,11,140.9,0
6610,1.4,23843.tif,0,13,208.7,0
6610,1.4,23843.tif,0,15,248.6,0
6610,3.8,23845.tif,0,5,8.2,0
6610,3.8,23845.tif,0,7,31.8,0
6610,3.8,23845.tif,0,9,68.1,0
6610,3.8,23845.tif,0,10,97.9,0
6610,3.8,23845.tif,0,11,105.6,0
6610,3.8,23845.tif,0,13,212.2,0
6610,3.8,23845.tif,0,15,227.5,0
6610,4.8,23847.tif,0,5,7.4,0
6610,4.8,23847.tif,0,7,93.3,0
6610,4.8,23847.tif,0,9,151.9,0
6610,4.8,23847.tif,0,10,167.0,0
6610,4.8,23847.tif,0,11,199.6,0
6610,4.8,23847.tif,0,13,253.9,0
6610,4.8,23847.tif,0,15,308.6,0
6610,5.8,23849.tif,0,5,2.2,0
6610,5.8,23849.tif,0,7,9.2,0
6610,5.8,23849.tif,0,9,18.8,0
6610,5.8,23849.tif,0,10,21.8,0
6610,5.8,23849.tif,0,11,63.1,0
6610,5.8,23849.tif,0,13,162.1,0
6610,5.8,23849.tif,0,15,342.9,0
7308,3.4,23713.tif,0,5,5.4,0
7308,3.4,23713.tif,0,7,29.9,0
7308,3.4,23713.tif,0,9,107.8,0
7308,3.4,23713.tif,0,10,123.0,0
7308,3.4,23713.tif,0,11,288.6,0
7308,3.4,23713.tif,0,13,325.2,0
7308,3.4,23713.tif,0,15,426.5,0
7308,4.4,23715.tif,0,5,6.1,0
7308,4.4,23715.tif,0,7,18.6,0
7308,4.4,23715.tif,0,9,43.6,0
7308,4.4,23715.tif,0,10,69.4,0
7308,4.4,23715.tif,0,11,100.7,0
7308,4.4,23715.tif,0,13,249.5,0
7308,4.4,23715.tif,0,15,276.9,0
7308,5.4,23717.tif,0,5,13.0,0
7308,5.4,23717.tif,0,7,93.6,0
7308,5.4,23717.tif,0,9,154.1,0
7308,5.4,23717.tif,0,10,286.1,0
7308,5.4,23717.tif,0,11,298.6,0
7308,5.4,23717.tif,0,13,433.6,0
7308,5.4,23717.tif,0,15,473.2,0
7308,6.4,23719.tif,0,5,9.5,0
7308,6.4,23719.tif,0,7,47.6,0
7308,6.4,23719.tif,0,9,172.0,0
7308,6.4,23719.tif,0,10,222.1,0
7308,6.4,23719.tif,0,11,233.5,0
7308,6.4,23719.tif,0,13,259.7,0
7308,6.4,23719.tif,0,15,272.2,0
7308,7.4,23721.tif,0,5,0.0,1
7308,7.4,23721.tif,0,7,0.0,1
7308,7.4,23721.tif,0,9,0.0,1
7308,7.4,23721.tif,0,10,0.0,1
7308,7.4,23721.tif,0,11,0.0,1
7308,7.4,23721.tif,0,13,0.0,1
7308,7.4,23721.tif,0,15,0.0,1
7308,8.4,23735.tif,0,5,0.0,0
7308,8.4,23735.tif,0,7,2.6,0
7308,8.4,23735.tif,0,9,9.2,0
7308,8.4,23735.tif,0,10,10.6,0
7308,8.4,23735.tif,0,11,23.9,0
7308,8.4,23735.tif,0,13,28.2,0
7308,8.4,23735.tif,0,15,86.1,0
7308,9.4,23732.tif,0,5,0.0,0
7308,9.4,23732.tif,0,7,0.0,0
7308,9.4,23732.tif,0,9,3.6,0
7308,9.4,23732.tif,0,10,8.4,0
7308,9.4,23732.tif,0,11,12.2,0
7308,9.4,23732.tif,0,13,21.1,0
7308,9.4,23732.tif,0,15,24.1,0
8249,0.12,23896.tif,0,5,0.0,0
8249,0.12,23896.tif,0,7,0.0,0
8249,0.12,23896.tif,0,9,0.0,0
8249,0.12,23896.tif,0,10,0.0,0
8249,0.12,23896.tif,0,11,0.0,0
8249,0.12,23896.tif,0,13,1.1,0
8249,0.12,23896.tif,0,15,1.5,0
8249,1.12,23898.tif,0,5,0.0,0
8249,1.12,23898.tif,0,7,0.0,0
8249,1.12,23898.tif,0,9,0.8,0
8249,1.12,23898.tif,0,10,1.4,0
8249,1.12,23898.tif,0,11,1.8,0
8249,1.12,23898.tif,0,13,2.2,0
8249,1.12,23898.tif,0,15,4.6,0
8249,1.4,23900.tif,0,5,0.0,0
8249,1.4,23900.tif,0,7,0.0,0
8249,1.4,23900.tif,0,9,1.4,0
8249,1.4,23900.tif,0,10,1.8,0
8249,1.4,23900.tif,0,11,2.4,0
8249,1.4,23900.tif,0,13,3.2,0
8249,1.4,23900.tif,0,15,3.4,0
8430,0.3,23890.tif,0,5,0.0,0
8430,0.3,23890.tif,0,7,0.0,0
8430,0.3,23890.tif,0,9,0.0,0
8430,0.3,23890.tif,0,10,0.0,0
8430,0.3,23890.tif,0,11,0.0,0
8430,0.3,23890.tif,0,13,0.0,0
8430,0.3,23890.tif,0,15,0.0,0
8430,1.4,23892.tif,0,5,0.0,0
8430,1.4,23892.tif,0,7,0.0,0
8430,1.4,23892.tif,0,9,0.0,0
8430,1.4,23892.tif,0,10,0.0,0
8430,1.4,23892.tif,0,11,0.0,0
8430,1.4,23892.tif,0,13,0.0,0
8430,1.4,23892.tif,0,15,0.0,0
8430,2.3,23894.tif,0,5,0.0,0
8430,2.3,23894.tif,0,7,0.0,0
8430,2.3,23894.tif,0,9,0.0,0
8430,2.3,23894.tif,0,10,0.0,0
8430,2.3,23894.tif,0,11,0.0,0
8430,2.3,23894.tif,0,13,0.0,0
8430,2.3,23894.tif,0,15,0.0,0
8627,1.4,23865.tif,0,5,3.8,0
8627,1.4,23865.tif,0,7,12.9,0
8627,1.4,23865.tif,0,9,14.1,0
8627,1.4,23865.tif,0,10,15.1,0
8627,1.4,23865.tif,0,11,16.1,0
8627,1.4,23865.tif,0,13,30.7,0
8627,1.4,23865.tif,0,15,33.4,0
8627,3.4,23867.tif,0,5,0.8,0
8627,3.4,23867.tif,0,7,4.2,0
8627,3.4,23867.tif,0,9,15.2,0
8627,3.4,23867.tif,0,10,19.4,0
8627,3.4,23867.tif,0,11,45.3,0
8627,3.4,23867.tif,0,13,88.4,0
8627,3.4,23867.tif,0,15,108.7,0
8627,4.4,23869.tif,0,5,5.8,0
8627,4.4,23869.tif,0,7,34.4,0
8627,4.4,23869.tif,0,9,107.6,0
8627,4.4,23869.tif,0,10,127.7,0
8627,4.4,23869.tif,0,11,149.6,0
8627,4.4,23869.tif,0,13,215.2,0
8627,4.4,23869.tif,0,15,274.8,0
8627,5.4,23871.tif,0,5,8.7,0
8627,5.4,23871.tif,0,7,37.4,0
8627,5.4,23871.tif,0,9,156.2,0
8627,5.4,23871.tif,0,10,165.4,0
8627,5.4,23871.tif,0,11,174.4,0
8627,5.4,23871.tif,0,13,188.6,0
8627,5.4,23871.tif,0,15,203.5,0
8714,1.4,23825.tif,0,5,0.0,0
8714,1.4,23825.tif,0,7,0.0,0
8714,1.4,23825.tif,0,9,0.0,0
8714,1.4,23825.tif,0,10,1.4,0
8714,1.4,23825.tif,0,11,1.9,0
8714,1.4,23825.tif,0,13,3.8,0
8714,1.4,23825.tif,0,15,5.4,0
8714,2.0,23827.tif,0,5,6.2,0
8714,2.0,23827.tif,0,7,45.0,0
8714,2.0,23827.tif,0,9,102.9,0
8714,2.0,23827.tif,0,10,158.4,0
8714,2.0,23827.tif,0,11,166.6,0
8714,2.0,23827.tif,0,13,206.8,0
8714,2.0,23827.tif,0,15,426.1,0
8714,3.0,23829.tif,0,5,14.8,0
8714,3.0,23829.tif,0,7,34.2,0
8714,3.0,23829.tif,0,9,181.2,0
8714,3.0,23829.tif,0,10,263.4,0
8714,3.0,23829.tif,0,11,295.6,0
8714,3.0,23829.tif,0,13,335.2,0
8714,3.0,23829.tif,0,15,363.2,0
8714,4.0,23831.tif,0,5,1.3,0
8714,4.0,23831.tif,0,7,2.6,0
8714,4.0,23831.tif,0,9,5.3,0
8714,4.0,23831.tif,0,10,7.8,0
8714,4.0,23831.tif,0,11,13.7,0
8714,4.0,23831.tif,0,13,29.6,0
8714,4.0,23831.tif,0,15,61.8,0
prune,1.4,23851.tif,0,5,0.0,0
prune,1.4,23851.tif,0,7,0.0,0
prune,1.4,23851.tif,0,9,0.0,0
prune,1.4,23851.tif,0,10,0.0,0
prune,1.4,23851.tif,0,11,0.8,0
prune,1.4,23851.tif,0,13,2.6,0
prune,1.4,23851.tif,0,15,3.4,0
prune,2.5,23853.tif,1,5,0.0,0
prune,2.5,23853.tif,1,7,0.0,0
prune,2.5,23853.tif,1,9,0.0,0
prune,2.5,23853.tif,1,10,0.0,0
prune,2.5,23853.tif,1,11,0.0,0
prune,2.5,23853.tif,1,13,0.0,0
prune,2.5,23853.tif,1,15,0.0,0
prune,3.5,23855.tif,0,5,0.0,0
prune,3.5,23855.tif,0,7,0.0,0
prune,3.5,23855.tif,0,9,0.0,0
prune,3.5,23855.tif,0,10,0.0,0
prune,3.5,23855.tif,0,11,0.8,0
prune,3.5,23855.tif,0,13,1.1,0
prune,3.5,23855.tif,0,15,1.7,0
prune,4.5,23857.tif,0,5,5.7,0
prune,4.5,23857.tif,0,7,10.4,0
prune,4.5,23857.tif,0,9,25.5,0
prune,4.5,23857.tif,0,10,28.1,0
prune,4.5,23857.tif,0,11,45.8,0
prune,4.5,23857.tif,0,13,58.2,0
prune,4.5,23857.tif,0,15,68.7,0
prune,5.5,23859.tif,0,5,8.7,0
prune,5.5,23859.tif,0,7,41.0,0
prune,5.5,23859.tif,0,9,102.5,0
prune,5.5,23859.tif,0,10,112.4,0
prune,5.5,23859.tif,0,11,130.4,0
prune,5.5,23859.tif,0,13,137.6,0
prune,5.5,23859.tif,0,15,145.2,0
prune,6.5,23861.tif,0,5,7.4,0
prune,6.5,23861.tif,0,7,24.4,0
prune,6.5,23861.tif,0,9,40.4,0
prune,6.5,23861.tif,0,10,65.2,0
prune,6.5,23861.tif,0,11,70.1,0
prune,6.5,23861.tif,0,13,154.6,0
prune,6.5,23861.tif,0,15,174.0,0
prune,7.5,23863.tif,0,5,0.0,0
prune,7.5,23863.tif,0,7,2.3,0
prune,7.5,23863.tif,0,9,9.8,0
prune,7.5,23863.tif,0,10,13.4,0
prune,7.5,23863.tif,0,11,22.1,0
prune,7.5,23863.tif,0,13,33.9,0
prune,7.5,23863.tif,0,15,37.6,0
